"date","name","limit","start","end"
20150323,"Via del Brennero",,"2015-03-23","2015-03-24"
20150324,"Via del Brennero",,"2015-03-24","2015-03-25"
20150325,"Via del Brennero",,"2015-03-25","2015-03-26"
20150326,"Via del Brennero",,"2015-03-26","2015-03-27"
20150326,"Via Malpaga",,"2015-03-26","2015-03-27"
20150326,"Via Oriola",,"2015-03-26","2015-03-27"
20150326,"Galleria Adria",,"2015-03-26","2015-03-27"
20150326,"Via San Vigilio",,"2015-03-26","2015-03-27"
20150326,"Via Giuseppe Mazzini","marciapiede","2015-03-26","2015-03-27"
20150326,"Via Giuseppe Verdi",,"2015-03-26","2015-03-27"
20150326,"Piazza Mario Pasi",,"2015-03-26","2015-03-27"
20150326,"Vicolo dei Dall'Armi",,"2015-03-26","2015-03-27"
20150326,"Via Paolo Oss Mazzurana",,"2015-03-26","2015-03-27"
20150326,"Via delle Orne",,"2015-03-26","2015-03-27"
20150326,"Via Armando Diaz",,"2015-03-26","2015-03-27"
20150326,"Via del Suffragio",,"2015-03-26","2015-03-27"
20150326,"Vicolo del Vò",,"2015-03-26","2015-03-27"
20150326,"Vicolo dell'Adige",,"2015-03-26","2015-03-27"
20150326,"Vicolo Galasso",,"2015-03-26","2015-03-27"
20150327,"Via Andrea Pozzo",,"2015-03-27","2015-03-28"
20150327,"Via delle Orfane",,"2015-03-27","2015-03-28"
20150327,"Via Roma",,"2015-03-27","2015-03-28"
20150327,"Via Vittorio Alfieri",,"2015-03-27","2015-03-28"
20150327,"Via Rodolfo Belenzani",,"2015-03-27","2015-03-28"
20150327,"Piazza Duomo",,"2015-03-27","2015-03-28"
20150327,"Piazza Mario Pasi",,"2015-03-27","2015-03-28"
20150327,"Piazza Lodron",,"2015-03-27","2015-03-28"
20150327,"Via Camillo Cavour",,"2015-03-27","2015-03-28"
20150327,"Piazza Santa Maria Maggiore",,"2015-03-27","2015-03-28"
20150327,"Via San Giovanni",,"2015-03-27","2015-03-28"
20150327,"Via del Suffragio",,"2015-03-27","2015-03-28"
20150327,"Vicolo del Vò",,"2015-03-27","2015-03-28"
20150327,"Vicolo dell'Adige",,"2015-03-27","2015-03-28"
20150327,"Vicolo Galasso",,"2015-03-27","2015-03-28"
20150330,"Via Galileo Galilei",,"2015-03-30","2015-03-31"
20150330,"Largo Giosuè Carducci",,"2015-03-30","2015-03-31"
20150330,"Via San Pietro",,"2015-03-30","2015-03-31"
20150330,"Via San Marco",,"2015-03-30","2015-03-31"
20150330,"Via Giannantonio Manci",,"2015-03-30","2015-03-31"
20150330,"Via del Simonino",,"2015-03-30","2015-03-31"
20150330,"Piazza Cesare Battisti",,"2015-03-30","2015-03-31"
20150330,"Via Mantova",,"2015-03-30","2015-03-31"
20150330,"Via Carlo Dordi",,"2015-03-30","2015-03-31"
20150330,"Via Roccabruna",,"2015-03-30","2015-03-31"
